"","Gene","ID","Beta","SE","Pval","LogFC","FoldChange","Pval.FDR"
"53","ABCC13","150000","-0.012715263504691","0.0562411235563873","0.827595060942452","-0.012715263504691","0.99122517642194",0.872722416444042
"54","ABCC2","1244","-0.184057215162755","0.0358771025155863","0.00135332904724158","-0.184057215162755","0.880224104477981",0.00528380736845363
"55","ABCC3","8714","-0.155059214720338","0.0806249933772102","0.0958750287788998","-0.155059214720338","0.898095510231491",0.164808660925245
"56","ABCC4","10257","-2.63544153489238","0.19610593850304","2.96372228408358e-06","-2.63544153489238","0.160935941920563",6.18232468459835e-05
"57","ABCC5","10057","-0.29252952556252","0.55355644940405","0.613518031159571","-0.29252952556252","0.816469259923116",0.70053978131994
"58","ABCC6","368","-0.0984427281902997","0.0743957301102655","0.227340806401426","-0.0984427281902997","0.934040668423667",0.325011854469888
"59","ABCC8","6833","1.7245176362883","0.200450161803618","5.71395971584136e-05","1.7245176362883","3.30469616586853",0.00047748903223816
"60","ABCC9","10060","1.14245476715413","0.505532269737129","0.0583395779557025","1.14245476715413","2.20756323976356",0.110397260001146
"61","ABCD1","215","-0.374688368589612","0.103024488606034","0.00832140637480019","-0.374688368589612","0.771271994424723",0.0225764314067088
"62","ABCD2","225","3.25207850667884","0.187576736707647","5.22142438445612e-07","3.25207850667884","9.52737322886356",2.21155152608639e-05
"63","ABCD3","5825","0.0550796070318827","0.193405602814638","0.784047707046157","0.0550796070318827","1.03891642849054",0.838461271078902
"64","ABCD4","5826","0.150922317404461","0.112289010411582","0.220859054893495","0.150922317404461","1.11027904851957",0.317814599298322
"65","ABCE1","6059","-0.754394342999312","0.115442395135218","0.00032339273272497","-0.754394342999312","0.592795194260965",0.00172918228891839
"66","ABCF1","23","-0.845067620095005","0.163854413544514","0.00131318071626431","-0.845067620095005","0.556684716312656",0.00517214061671437
"67","ABCF2","10061","-0.800965657362843","0.22581856039631","0.00938209856729681","-0.800965657362843","0.573964869712839",0.0249233462099728
"68","ABCF3","55324","0.233409823646823","0.142693823672462","0.145908508444202","0.233409823646823","1.17561023436338",0.228845976401959
"69","ABCG1","9619","0.31837776614784","0.146272566481713","0.0659704398658299","0.31837776614784","1.24692765647133",0.121903964176832
"70","ABCG2","9429","0.330061768943874","0.548040019238171","0.565991609867884","0.330061768943874","1.257067194663",0.65834588188193
"71","ABCG4","64137","1.95864073918369","0.190937154717418","1.80821418184955e-05","1.95864073918369","3.88695589922251",0.000207106920155836
"72","ABCG5","64240","0.0597501689294475","0.0662679585392391","0.397206772107048","0.0597501689294475","1.04228525298549",0.501980569595977
"73","ABCG8","64241","0.11785080860755","0.0571128876572325","0.0779645531305141","0.11785080860755","1.08511715238614",0.139304415947145
"74","ABHD1","84696","0.21296363213788","0.117755709122941","0.11346033650129","0.21296363213788","1.15906673345616",0.18748649326998
"75","ABHD10","55347","-0.622880139282548","0.258547155084479","0.0468320866435752","-0.622880139282548","0.64937324977969",0.0924060107004121
"76","ABHD11","83451","-0.136684494826231","0.181014125336323","0.474820895431543","-0.136684494826231","0.909607153423377",0.577134697080393
"77","ABHD12","26090","0.658667240791423","0.157866053009611","0.00417705847229928","0.658667240791423","1.57862362012066",0.0129779541525269
"78","ABHD12B","145447","-0.283084622354525","0.0538839238274158","0.00118156558158112","-0.283084622354525","0.821831980712781",0.00477086049490098
"79","ABHD13","84945","-0.125919856139508","0.312263731246035","0.698798292134441","-0.125919856139508","0.916419551733781",0.769942288336165
"80","ABHD14B","84836","-0.432149463735247","0.129952731110689","0.0126701508594658","-0.432149463735247","0.741156716816218",0.0318430374780517
"81","ABHD15","116236","0.240617226525926","0.0921089384105929","0.034796134982318","0.240617226525926","1.18149803223203",0.0725122253477676
"82","ABHD2","11057","0.760382459407055","0.189138730541008","0.00505808605196182","0.760382459407055","1.69393962971996",0.0151083719404683
"83","ABHD3","171586","-1.70069585225392","0.239579801312785","0.00019389068325375","-1.70069585225392","0.307637685267968",0.00116684014501932
"84","ABHD4","63874","-1.33419902838655","0.339942520785849","0.00571385876718619","-1.33419902838655","0.396612202802102",0.0166817486191048
"85","ABHD5","51099","-0.23233362105545","0.154940117065928","0.177423297911193","-0.23233362105545","0.851256833125708",0.267700958334546
"86","ABHD6","57406","1.50010499499582","0.147546949357038","1.9179732564143e-05","1.50010499499582","2.82863297663609",0.000215681520909985
"87","EPHX4","253152","1.10934739921532","0.192577651673093","0.000690910590719118","1.10934739921532","2.15748031948729",0.00312125499131582
"88","ABHD8","79575","0.950021038129598","0.166987260287203","0.000743625034313545","0.950021038129598","1.93190082962718",0.00329603520529584
"89","EPHX3","79852","-0.736065960164033","0.120629139548574","0.000490166963652586","-0.736065960164033","0.600374263942682",0.00238899132284882
"90","ABI1","10006","0.471543465992305","0.211144223915403","0.0606768005009497","0.471543465992305","1.38659211919502",0.114041496425256
"91","ABI2","10152","0.650944671073981","0.2600949877848","0.0408294651878274","0.650944671073981","1.57019601746508",0.082557236412936
"92","ABI3","51225","-0.19321256132803","0.0685717536710494","0.0258596026925868","-0.19321256132803","0.874655886862633",0.0568570553009076
"93","ABI3BP","25890","3.1626959431458","0.503306208784995","0.000410507039644315","3.1626959431458","8.95501558571834",0.0020765509177279
"94","ABL1","25","-0.883969698112965","0.144231063782951","0.00047734239597887","-0.883969698112965","0.541874364651882",0.00233672335115734
