"","Gene","ID","Beta","SE","Pval","LogFC","FoldChange","Pval.FDR"
"104","IRF6","3664","-0.689074239090297","0.27707404216504","0.0677038351133943","-0.689074239090297","0.620251730740756",0.178598933743932
"105","PTPRC","5788","0.00980430423613618","0.0694141497945704","0.894505285806565","0.00980430423613618","1.00681896986092",0.947233623400785
"106","MAN1A2","10905","0.34431032492589","0.133168007648156","0.0609703873440308","0.34431032492589","1.26954393662867",0.166097417869761
"107","RAPH1","65059","-0.0578915971069423","0.198360569209305","0.784911536530054","-0.0578915971069423","0.96066704495613",0.88686539704085
"108","SMCR8","140775","0.176158506297577","0.0967298662877019","0.142688220768759","0.176158506297577","1.12987134467429",0.299787793468658
"109","LACTB","114294","-0.13175320903886","0.0755137113763866","0.155968262104542","-0.13175320903886","0.912721607592505",0.317983758927192
"110","BNC1","646","-0.000404465776782713","0.0586120665082402","0.994824507286343","-0.000404465776782713","0.999719684982788",0.997436446948789
"111","MPP4","58538","-0.412428049827623","0.260316515517533","0.188293354212261","-0.412428049827623","0.751357776954953",0.361317100378926
"112","LACE1","246269","-0.0013824822090367","0.0587661290088642","0.98235816884618","-0.0013824822090367","0.999042195342617",0.991791911226803
"113","IDI2","91734","0.0194247228830244","0.0784684343552677","0.816671586256977","0.0194247228830244","1.01355524231245",0.905260906329649
"114","CYP11B1","1584","0.0632839356239839","0.068556850829114","0.408203436824862","0.0632839356239839","1.04484137700193",0.603576727912098
"115","TAF8","129685","-0.176017754627556","0.077189748170838","0.0847561254624206","-0.176017754627556","0.885142871439781",0.208537248416393
"116","COBL","23242","-0.0539317333666874","0.0553882246513447","0.385339458562708","-0.0539317333666874","0.963307475518992",0.582044759672217
"117","SLAMF6","114836","0.00477394080826071","0.0897281882787653","0.960120161436646","0.00477394080826071","1.00331452454009",0.982552564700205
"118","ZSCAN20","7579","0.00602359283591676","0.161267301645114","0.971994434256511","0.00602359283591676","1.00418396483406",0.987984128694683
"119","GPBAR1","151306","0.118281478298195","0.0743456828991559","0.186827067835964","0.118281478298195","1.08544112717962",0.359140532534633
"120","RHBDL2","54933","0.0330241663587301","0.110269972497035","0.779487047610061","0.0330241663587301","1.02315460829353",0.883951069176103
"121","FRAS1","80144","-0.990373075946669","0.227556067387242","0.0121359692020971","-0.990373075946669","0.503347594250359",0.0559133305739454
"122","BRSK1","84446","0.11921102585983","0.0816134447566907","0.217894612082377","0.11921102585983","1.08614071665653",0.398285576991613
"123","CRB2","286204","0.00887357704875652","0.0320105655634375","0.795356802835377","0.00887357704875652","1.00616964927769",0.892808792686899
"124","KCNE4","23704","-0.0873122061624096","0.0625183184899756","0.235047375144098","-0.0873122061624096","0.941274746106018",0.419561226919168
"125","CD300LG","146894","0.160218881966917","0.0834631924882785","0.127324969380243","0.160218881966917","1.11745666285185",0.276067735176874
"126","CPA6","57094","-0.0421232023071797","0.0837563125560879","0.641445903146532","-0.0421232023071797","0.971224552014727",0.792724730560476
"127","WBP2NL","164684","0.16400046795737","0.0644808913826118","0.0637505628569329","0.16400046795737","1.12038957760741",0.171116363684047
"128","HIPK1","204851","-0.164737033550094","0.200053235817518","0.456506182712499","-0.164737033550094","0.892091110020989",0.646952052311256
"129","MTBP","27085","-0.192276209726634","0.0628795922635768","0.0377377216126255","-0.192276209726634","0.875223748571079",0.120138754698676
"130","TMEM74","157753","-0.0413422854349103","0.0698062384722067","0.585543568309872","-0.0413422854349103","0.971750408779057",0.752501001229184
"131","TIGD4","201798","0.0997028051945869","0.0569480606969487","0.154877343528931","0.0997028051945869","1.07155270021939",0.316783156456258
"132","ART5","116969","-0.103452954829812","0.079091302987425","0.260970861261064","-0.103452954829812","0.930802535123929",0.451003391867802
"133","FAM71C","196472","0.0358595625967204","0.058617923634076","0.573764976258461","0.0358595625967204","1.02516743934723",0.743611193877461
"134","C21orf67","84536","0.134245834569828","0.100849689406523","0.253942726862862","0.134245834569828","1.09751893836746",0.442389775878279
"135","NLRP11","204801","-0.0180390217415863","0.0348005046914263","0.631563935925002","-0.0180390217415863","0.987574149366011",0.786029277255772
"136","ATP6V1C2","245973","0.0736374193956334","0.0381046246809467","0.125453321395625","0.0736374193956334","1.05236663887396",0.273479933671419
"137","CLDN19","149461","0.0651345661194811","0.0590190810627681","0.3316845484344","0.0651345661194811","1.04618251700199",0.527962035052612
"138","KIF6","221458","0.0278975053801673","0.0781304489084767","0.739085472989973","0.0278975053801673","1.01952524941946",0.857985804661204
"139","IQCD","115811","0.079807271327644","0.146423531930503","0.614689170808175","0.079807271327644","1.05687684365476",0.774053362934168
"140","TAGAP","117289","0.0311923718199239","0.198309872613362","0.882635815637175","0.0311923718199239","1.02185632998137",0.942499960506539
"141","STON2","85439","0.0697697386720339","0.105306049871978","0.54385024559575","0.0697697386720339","1.04954915697139",0.719810183473347
"142","SERPINA12","145264","-0.0748451298977934","0.0710672681004723","0.351680572603913","-0.0748451298977934","0.949444036184719",0.547827516241143
"143","LETM2","137994","-0.171472606892366","0.090749503494678","0.131824242872218","-0.171472606892366","0.887935872713184",0.282568483235226
"144","BSND","7809","-0.0182265114899296","0.0788659752841975","0.828571467763662","-0.0182265114899296","0.987445814553388",0.911645328960542
"145","CLEC4C","170482","-0.0448956867946326","0.0385261782585076","0.308639000223183","-0.0448956867946326","0.969359903391521",0.502259726991176
"146","NLRC4","58484","-0.0415091463885498","0.0396093786066843","0.353799930827398","-0.0415091463885498","0.971638023403931",0.550097140908636
"147","ZDHHC15","158866","0.509164067845134","0.083288216302643","0.00362491597732484","0.509164067845134","1.42322530571693",0.0272977262857322
"148","RAI1","10743","0.338298075254145","0.211291882728109","0.184611182253861","0.338298075254145","1.26426428114134",0.355920018338952
"149","CDK15","65061","-0.14832230238163","0.111047512132769","0.252591672269731","-0.14832230238163","0.902299128623771",0.441001646858751
"150","ZNF570","148268","0.0793630369628402","0.126089319314361","0.563234447672492","0.0793630369628402","1.05655146044965",0.735724445321353
"151","NUDT9P1","119369","0.0187913887742541","0.0692680404938698","0.79959665023616","0.0187913887742541","1.01311039554354",0.895576634211701
"152","BTBD16","118663","-0.0263227012790032","0.0100786075461719","0.0593114684356823","-0.0263227012790032","0.981919935355385",0.163180877503796
"153","RTP3","83597","-0.00317907792938397","0.038301084469558","0.937837466253412","-0.00317907792938397","0.997798857172088",0.970057413355759
"154","TSPEAR","54084","0.0425504586290434","0.0173567790487783","0.0703302437024309","0.0425504586290434","1.02993297821501",0.183634691487864
"155","MIPOL1","145282","-0.0612954435181592","0.0466447465557175","0.259107716327252","-0.0612954435181592","0.958403150999318",0.448824558728114
"156","ALMS1P","200420","0.0197051419085673","0.075065627233459","0.805897068036404","0.0197051419085673","1.01375226787176",0.899395995828998
"157","MYO3B","140469","-0.0986277878993492","0.0491217605893578","0.115084419426094","-0.0986277878993492","0.933920863334126",0.257740083967579
"158","ADAM21","8747","0.0295428176829205","0.0992609281242269","0.7808049999965","0.0295428176829205","1.02068862370395",0.884834237739443
"159","TRIML2","205860","-0.0775752834995258","0.0755545627553752","0.362571574933606","-0.0775752834995258","0.94764900892066",0.559796679650895
"160","ABCC13","150000","0.0645802931739243","0.0565241069001569","0.31697720410945","0.0645802931739243","1.04578065848575",0.511323261507617
"161","IL12RB1","3594","-0.0361753075511333","0.11187837377829","0.762632505834959","-0.0361753075511333","0.975236949448264",0.874469810975442
"162","GTF2A1L","11036","0.271628927196114","0.0612518603172328","0.0113811966629928","0.271628927196114","1.20717005767427",0.0537439124150697
"163","TRPV3","162514","0.0188956340338799","0.0589767044439406","0.764710435229182","0.0188956340338799","1.01318360281807",0.875474359775532
"164","CNBD1","168975","0.0769524042405034","0.0536155231037811","0.224541161385505","0.0769524042405034","1.05478751813984",0.406218056148858
"165","ABCC12","94160","-0.0291311773061962","0.134208650838792","0.838784246994792","-0.0291311773061962","0.980010303677477",0.918145907950064
"166","MMP21","118856","-0.0100234745976526","0.0683328779237316","0.890475909400663","-0.0100234745976526","0.993076336611754",0.945545307247486
"167","TMEM190","147744","0.066795490486607","0.0423461099599538","0.189845268358361","0.066795490486607","1.04738764393872",0.363236480608846
"168","GAS2L2","246176","-0.0224108752445686","0.0593590918719291","0.724945144524274","-0.0224108752445686","0.984585995807284",0.848552269954831
"169","KCNG4","93107","-0.0937707316144906","0.088642154572595","0.349774171403926","-0.0937707316144906","0.937070351201102",0.545711208693856
"170","PXT1","222659","-0.0537841721034963","0.0434385382779621","0.283357160798161","-0.0537841721034963","0.963406009258734",0.476795649236372
"171","CACNG5","27091","-0.103889028253566","0.068697291437999","0.205006014742096","-0.103889028253566","0.930521230413659",0.383330621771091
"172","WFDC11","259239","0.0692848356409366","0.022940503289469","0.0391556646907667","0.0692848356409366","1.04919645315339",0.123074592377952
"173","IL28A","282616","0.045578861122617","0.0508334774531504","0.420601620743871","0.045578861122617","1.03209721074374",0.615529987787804
"174","JAK1","3716","-0.142703311180034","0.0710550600158616","0.115015435901127","-0.142703311180034","0.905820244909692",0.257661799006904
"175","CDC42SE2","56990","0.0258871282656398","0.193447363660373","0.900007681079851","0.0258871282656398","1.01810554340579",0.950014772714064
"176","ACACB","32","-0.210697546568831","0.195832012012222","0.342534537127265","-0.210697546568831","0.864119326486365",0.539224847219886
"177","RFWD2","64326","0.980599803094256","0.14079986186032","0.00223429278533222","0.980599803094256","1.97328563557117",0.0211674164709706
"178","STX6","10228","0.701832422675438","0.10319527010051","0.00244183751283471","0.701832422675438","1.62656944989641",0.02220972209872
"179","ANLN","54443","-1.74941399012448","0.143545983117741","0.000260194882317013","-1.74941399012448","0.297422564614551",0.00838381127193371
"180","SPRR4","163778","-0.00410497315631907","0.192512647342047","0.984009163479023","-0.00410497315631907","0.997158693603749",0.992685480074938
"181","HSH2D","84941","-0.0735171280002037","0.0500784415732231","0.216006876026275","-0.0735171280002037","0.950318402517839",0.396221915036568
"182","TRNT1","51095","-0.12184679039142","0.0782397331979992","0.194380878943976","-0.12184679039142","0.919010474276133",0.369719169897962
"183","TMEM163","81615","0.0184991920481998","0.046013924900625","0.708214477795761","0.0184991920481998","1.01290522566611",0.837862377008344
"184","ARHGAP5","394","-0.276374895759477","0.222352673133423","0.281764994403078","-0.276374895759477","0.825663081949857",0.475072835093045
"185","HERPUD2","64224","0.236899590351775","0.065713140070654","0.02265596504815","0.236899590351775","1.1784573858971",0.0847374499108875
"186","JMJD6","23210","-0.766375845497419","0.0767100219453334","0.000564062948716921","-0.766375845497419","0.587892449659453",0.0113524154381982
"187","SRCAP","10847","-0.238861159725569","0.100409794058609","0.0760832987270066","-0.238861159725569","0.847413983385311",0.193550390714226
"188","MAP3K6","9064","-0.642327079467489","0.136662665745111","0.00930777105580626","-0.642327079467489","0.640678694649048",0.0474442560986638
"189","ARSG","22901","0.0843668114855433","0.081858129810357","0.360944335132689","0.0843668114855433","1.06022231526345",0.557883344687634
"190","ZNF101","94039","-0.254488682514934","0.0853165756688727","0.0406231825094152","-0.254488682514934","0.838284185258104",0.126174436320008
"191","PTPN11","5781","-0.244256815849798","0.115156017737108","0.101217222951916","-0.244256815849798","0.844250588001438",0.235885511439622
"192","KLHDC7B","113730","0.172087506017688","0.103724068517105","0.17243639153802","0.172087506017688","1.12668756515142",0.341445699980619
"193","ATAD3A","55210","-0.549353324576952","0.146595141681954","0.019991824267717","-0.549353324576952","0.683326354797266",0.0779295203887532
"194","PHC3","80012","0.347552843667269","0.130650305488272","0.0563799975485965","0.347552843667269","1.27240049978699",0.158021480380464
"195","IL11RA","3590","-1.13246893649478","0.111972601489777","0.000537904609058146","-1.13246893649478","0.456134457312807",0.0110981299721752
"196","TNFRSF10A","8797","-0.286586454233344","0.0851131296426723","0.0281185318835874","-0.286586454233344","0.819839579401944",0.0979813729510004
"197","HPS4","89781","0.109036907435107","0.0727449777364271","0.208272340194444","0.109036907435107","1.07850802204069",0.386921616855885
"198","UHMK1","127933","0.0444069482709516","0.147539806515105","0.778424316640896","0.0444069482709516","1.03125917025044",0.883493805831502
"199","NAV3","89795","-0.0116293407660968","0.068919402871139","0.874191420029529","-0.0116293407660968","0.991971556725786",0.938785623665238
"200","C5orf22","55322","-0.132847424826492","0.17277811769859","0.484842347222817","-0.132847424826492","0.912029613982337",0.671652393330707
"201","ERC1","23085","-0.0786250467577587","0.120181925327532","0.548678285880783","-0.0786250467577587","0.946959711986861",0.72392263124051
"202","FLCN","201163","0.103351259667874","0.173535453582176","0.583528149590175","0.103351259667874","1.07426599631729",0.751505255327291
"203","LRRC7","57554","-0.044661451619283","0.0833753415669723","0.620585911181178","-0.044661451619283","0.969517300910768",0.777992801235742
"204","SH2D3C","10044","0.27592682625135","0.169993369278158","0.179876270551404","0.27592682625135","1.21077167183896",0.350585101831462
"205","PPP1R3B","79660","0.21000162388509","0.23278083733221","0.417992883046838","0.21000162388509","1.15668948586426",0.613273602420556
"206","SLC9A7","84679","1.42863281973276","0.10532162452437","0.000170987691802641","1.42863281973276","2.69191493218079",0.00745002406178892
"207","IGSF3","3321","0.888764696804442","0.126821960443681","0.00218279888141348","0.888764696804442","1.85159002656165",0.0208820633355185
"208","RFX6","222546","-0.0153131776306459","0.101216971114043","0.887069882074904","-0.0153131776306459","0.989441846853911",0.944179525874497
"209","DIRC1","116093","0.10178350558132","0.0966729948663057","0.351800612130364","0.10178350558132","1.07309924235975",0.547944921331095
"210","DNAJB7","150353","0.0780993346891401","0.0509498720341787","0.200080328105109","0.0780993346891401","1.05562639877104",0.377008397265618
"211","UCN3","114131","-0.09830775587845","0.124736289187044","0.474704115408718","-0.09830775587845","0.934128057318932",0.663674217480578
"212","DIP2A","23181","-0.00180366228402615","0.259296631543168","0.994783067296376","-0.00180366228402615","0.998750577751871",0.997436446948789
"213","USP28","57646","-0.681013713371899","0.152809143326514","0.0111893377882314","-0.681013713371899","0.623726857164891",0.0532029298163191
"214","CASC5","57082","-0.677595333626096","0.13372379253453","0.00714477860733629","-0.677595333626096","0.62520649296786",0.040548857959945
"215","SENP8","123228","0.13073462499623","0.0871343764764503","0.207906775652441","0.13073462499623","1.09485106105697",0.386510658095441
"216","GRHL1","29841","0.0380905397157041","0.10253064676611","0.729103578417102","0.0380905397157041","1.02675398005564",0.851124523993417
"217","C20orf152","140894","0.191121609338464","0.0766243592216863","0.0671770362381933","0.191121609338464","1.14165093644754",0.177676575472125
"218","CASKIN1","57524","0.321090773473088","0.116335423617989","0.0508473755432541","0.321090773473088","1.24927472676802",0.147121256252778
"219","CACNA2D4","93589","0.0308532915053236","0.0928624103027436","0.756383845969993","0.0308532915053236","1.02161618868967",0.870233853137887
"220","ARL11","115761","-0.0563669714722823","0.0819117702399117","0.529192656031821","-0.0563669714722823","0.961682804872121",0.707021930564261
"221","SLC2A13","114134","-0.734844235902925","0.229674543533942","0.0329164242355249","-0.734844235902925","0.600882897052285",0.109653833836953
